clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
pH,7,Aquatic biogeochemistry,OtherDriver,Environmental,Environmental,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
Forest stand age,8,Vegetation cover,OtherDriver,Environmental,Biotic,Food,Food and feed,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Mengiste Taye,FUNGAL ECOLOGY,2016
biodiversity of grassland plant community,1,Service provider diversity/richness,OtherDriver,Biotic,Biotic,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Biodiversity-multifunctionality relationships depend on identity and number of measured functions,Meyer,NATURE ECOLOGY & EVOLUTION,2018
biodiversity of grassland plant community,1,Service provider diversity/richness,OtherDriver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,Biodiversity-multifunctionality relationships depend on identity and number of measured functions,Meyer,NATURE ECOLOGY & EVOLUTION,2018
biodiversity of grassland plant community,1,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Biodiversity-multifunctionality relationships depend on identity and number of measured functions,Meyer,NATURE ECOLOGY & EVOLUTION,2018
biodiversity of grassland plant community,1,Service provider diversity/richness,OtherDriver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Biodiversity-multifunctionality relationships depend on identity and number of measured functions,Meyer,NATURE ECOLOGY & EVOLUTION,2018
biodiversity of grassland plant community,1,Service provider diversity/richness,OtherDriver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Biodiversity-multifunctionality relationships depend on identity and number of measured functions,Meyer,NATURE ECOLOGY & EVOLUTION,2018
Management Practices,1,Management/restoration,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Impact of disturbance on above-ground water storage capacity of bryophytes in New Zealand indigenous tussock grassland ecosystems,Michel,NEW ZEALAND JOURNAL OF ECOLOGY,2013
Exploitation (hunting; fishing),1,Exploitation/harvest,Driver,Human,Human,Food,Food and feed,High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs,Micheli,BIOLOGICAL CONSERVATION,2014
Habitat type (type of coral environment),2,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs,Micheli,BIOLOGICAL CONSERVATION,2014
Exploitation (hunting; fishing),1,Exploitation/harvest,Driver,Human,Human,HabCreate,Habitat creation and maintenance,High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs,Micheli,BIOLOGICAL CONSERVATION,2014
Habitat type (type of coral environment),2,Land cover,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs,Micheli,BIOLOGICAL CONSERVATION,2014
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Milligan,ECOSPHERE,2016
invasive species,2,Invasive species,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Milligan,ECOSPHERE,2016
invasive species,1,Invasive species,OtherDriver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna,Milligan,ECOSPHERE,2016
Adjacent forest fragment size and isolation,1,Land cover,OtherDriver,Biotic,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Forest fragments modulate the provision of multiple ecosystem services,Mitchell,JOURNAL OF APPLIED ECOLOGY,2014
Adjacent forest fragment size and isolation,1,Land cover,OtherDriver,Biotic,Environmental,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Forest fragments modulate the provision of multiple ecosystem services,Mitchell,JOURNAL OF APPLIED ECOLOGY,2014
Adjacent forest fragment size and isolation,1,Land cover,OtherDriver,Biotic,Environmental,Food,Food and feed,Forest fragments modulate the provision of multiple ecosystem services,Mitchell,JOURNAL OF APPLIED ECOLOGY,2014
Adjacent forest fragment size and isolation,1,Land cover,OtherDriver,Biotic,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Forest fragments modulate the provision of multiple ecosystem services,Mitchell,JOURNAL OF APPLIED ECOLOGY,2014
Adjacent forest fragment size and isolation,1,Land cover,OtherDriver,Biotic,Environmental,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Forest fragments modulate the provision of multiple ecosystem services,Mitchell,JOURNAL OF APPLIED ECOLOGY,2014
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
elevation,2,Topography and position,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
Slope,3,Topography and position,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
aspect,4,Topography and position,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
soil organic carbon,5,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
water capacity,6,Hydrology,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
total nitrogen and phosphorous content,7,Soil characteristics,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
age,8,Characteristics of human population,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
income,9,Characteristics of human population,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
household size,10,Characteristics of human population,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
cultural background,11,Characteristics of human population,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
mean dwelling density,12,Population growth and density,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
mean lot size,13,Characteristics of locality,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
street density,14,Characteristics of locality,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
parkland proportion,15,Land use and land cover change,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
mean patch size,16,Characteristics of locality,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
mean edge/area ratio,17,Characteristics of locality,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Landscape structure influences urban vegetation vertical structure,Mitchell,JOURNAL OF APPLIED ECOLOGY,2016
